brand_id	name	domain	missing_role	available_role	original_cohort
tim	TIM	gruppotim.it	logo	icon	icon
noble-corporation	Noble Corporation	noblecorp.com	logo	icon	icon
rheinmetall	Rheinmetall	rheinmetall.com	logo	icon	icon
komatsu	Komatsu	komatsu.com	icon	logo	logo
nasdaq	Nasdaq	nasdaq.com	icon	logo	empty
transocean	Transocean	deepwater.com	logo	icon	icon
saab	Saab	saab.com	icon	logo	empty
hitachi	Hitachi	hitachi.com	icon	logo	empty
kddi	KDDI	kddi.com	icon	logo	empty
iberdrola	Iberdrola	iberdrola.com	icon	logo	empty
arcelormittal	ArcelorMittal	arcelormittal.com	icon	logo	empty
mitsubishi-electric	Mitsubishi Electric	mitsubishielectric.com	icon	logo	logo
vertex-pharmaceuticals	Vertex Pharmaceuticals	vrtx.com	logo	icon	icon
e-on	E.ON	eon.com	logo	icon	empty
nippon-steel	Nippon Steel	nipponsteel.com	icon	logo	empty
natwest-group	NatWest Group	natwestgroup.com	icon	logo	empty
petrobras	Petrobras	petrobras.com.br	icon	logo	empty
mitsubishi-heavy-industries	Mitsubishi Heavy Industries	mhi.com	icon	logo	logo
china-mobile	China Mobile	chinamobileltd.com	logo	icon	icon
posco-holdings	POSCO Holdings	posco-inc.com	logo	icon	icon
textron	Textron	textron.com	icon	logo	empty
zoetis	Zoetis	zoetis.com	icon	logo	logo
china-telecom	China Telecom	chinatelecom-h.com	logo	icon	icon
national-grid	National Grid	nationalgrid.com	icon	logo	empty
kubota	Kubota	kubota.com	icon	logo	empty
china-unicom	China Unicom	chinaunicom.com.hk	icon	logo	empty
stryker	Stryker	stryker.com	icon	logo	logo
kt-corporation	KT	kt.com	logo	icon	icon
hydro-one	Hydro One	hydroone.com	logo	icon	icon
smc-corporation	SMC Corporation	smcworld.com	logo	icon	icon
lg-uplus	LG Uplus	lguplus.com	icon	logo	empty
australian-gas-light	AGL Energy	agl.com.au	logo	icon	icon
sabic	SABIC	sabic.com	icon	logo	logo
orlen	ORLEN	orlen.pl	icon	logo	empty
becton-dickinson	BD	bd.com	logo	icon	icon
tepco	TEPCO	tepco.co.jp	icon	logo	empty
linde	Linde	linde.com	logo	icon	icon
mol-group	MOL Group	molgroup.info	logo	icon	icon
